"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","mean"
"233","wv.869",0.53,0.09,0.43,1.49,1.52,0.26,6.66,0,0.2,1.24
"234","wv.67",0.68,0.18,0.16,4.98,1.86,0.16,1.38,0.44,1.23,1.23
"235","wv.383",2.53,0.24,3.56,2.44,0.83,0.41,0.24,0.48,0.33,1.23
"236","wv.934",2.51,0.07,0.26,4.24,1.75,0.18,0.99,0.83,0.2,1.23
"237","wv.931",2.12,0.06,0.37,1.36,0.15,0.61,0.16,5.46,0.79,1.23
"238","wv.160",0.27,0.09,6.03,1.25,1.86,0.08,0.15,0.83,0.54,1.23
"239","wv.230",0.11,0.15,0.55,0.74,1.82,1.77,1.52,4.02,0.35,1.23
"240","wv.741",0.47,0.03,0.56,5.75,1.16,0.11,0.15,1.55,1.16,1.22
"241","wv.522",0.54,0.02,0.79,2.55,1.4,0,3.68,1.46,0.53,1.22
"242","wv.666",0.78,0.36,1.07,2.62,1.24,1.77,1.12,1,0.92,1.21
"243","wv.142",0.93,0.43,0.09,3.63,3.75,0.27,0.35,0.72,0.69,1.21
"244","wv.701",0.32,0.13,1.02,6.44,1.07,0.32,0.57,0.91,0,1.2
"245","wv.807",0.93,0.13,0.73,2.91,1.03,1.91,0.99,0.29,1.91,1.2
"246","wv.424",0.09,0.47,0.65,7.54,0.47,0.15,0,0.59,0.87,1.2
"247","wv.731",1.26,0.16,0.15,1.48,3.98,0.2,2.01,0.09,1.34,1.19
"248","wv.597",0,0.04,2.4,2.45,0.17,0.83,0.79,1.46,2.58,1.19
"249","wv.23",2.9,0.3,0.73,2.25,0.51,0.28,1.4,2.17,0.16,1.19
"250","wv.149",1.38,0.09,0,5.82,1.09,0.23,0.48,0.64,0.97,1.19
"251","wv.518",1.56,0.48,1.07,1.13,2.09,1.27,0.68,2.19,0.21,1.19
"252","wv.212",0.99,0.05,0.09,3.74,0.47,0.12,0.24,4.02,0.94,1.18
